level1, 哀 亜 阿 亨 衰, 衣 口 亠 ｜ 一 亅 ⻖, fbe7ff06-5763-4bef-89a9-fe8b0c2543c6,
level2, 握 渥 扱 圭 択, 至 土 厶 尸 扌 氵 及, 772f4c1a-85e1-4d0d-8de9-23704c4362ec,
level3, 扱 援 暇 昌 晶, 扌 及 ノ 一 爪 又 日, e0143f90-65e9-4c06-ae42-c446bf50acfd,
level4, 嵐 凱 叶 舌 豆, 山 風 口 豆 并 几 十, 680d3583-bacb-41b1-ae9c-9984b3c85ebd,
level5, 威 井 丑 垂 乃, ノ 女 戈 厂 ｜ 一 二, 8ecd3813-9eb6-4893-9c4d-86e3c6694077,
level6, 尉 慰 忌 巳 示, 示 二 小 寸 尸 心 已, e89db400-ec58-4530-adf0-890a6a89fdb9,
level7, 維 絢 惟 幻 旬, 糸 幺 小 隹 日 勹 忄, 9f4370d3-85a1-481e-b2f3-7f5a236f7921,
level8, 遺 杏 唄 且 呉, 一 貝 目 ハ 辶 口 木, 682c0074-ffea-495e-bac6-a5c7eff406d8,
level9, 緯 胤 絹 朋 呂, 口 糸 幺 小 韋 月 儿, e065c564-53fc-4e8d-a325-fedd6a946b0e,
level10, 壱 叡 貝 皮 八, 士 冖 匕 ハ 卜 又 目, dc2c8a4b-4783-415c-a42b-2149a41bb32d,
level11, 逸 允 句 史 石, ノ 辶 免 儿 勹 厶 口, 408cdf63-4376-41d7-a239-207729666e6e,
level12, 芋 茜 郁 肝 有, 一 ⺾ 干 西 ノ 月 ⻏, c79f759e-f5c9-4a52-9842-a8ee7efba8ef,
level13, 姻 瑛 旺 菖 因, 女 大 囗 ノ 王 ⺾ 日, 95eb0b52-96b1-4ce5-abc4-b5d8783bd185,
level14, 陰 於 監 血 防, 二 𠆢 厶 ⻖ 方 皿 臣, 9d0c6d75-ac7a-4ed7-9d27-b115536b6523,
level15, 隠 伊 当 必 作, ノ ヨ ⺌ 心 ⻖ ｜ ⺅, 025c2f94-d891-4bed-873d-e5d19b63d55b,
level16, 韻 唱 只 賠 冒, 音 貝 目 ハ 口 日 立, 059ec87c-4d34-4aa7-a333-ba2f3ac2633d,
level17, 唄 鮎 貞 黄 占, 貝 目 ハ 口 魚 田 卜, a5de74bd-5c41-4ab4-8359-d76800eea151,
level18, 畝 亥 劾 該 核, 田 亠 久 人 力 言 木, 30e75c7f-0883-4647-ba8d-68dc752abb8e,
level19, 浦 梓 汁 甫 泣, 十 氵 用 丶 辛 木 立, c03d04b3-9c2b-4d24-9782-a3fe47301ffd,
level20, 詠 謁 喝 旨 勺, 言 水 丶 日 勹 匕 口, f12e0ec7-4ccc-4d95-a23d-fd21cb0976da,
level21, 影 旭 軌 景 亡, 口 小 日 亠 彡 九 車, 149ca174-ef9b-408f-8b75-9c593a84bfff,
level22, 衛 渦 沖 向 品, 口 行 彳 韋 ｜ 氵 冂, c9842a26-a965-40fd-8efb-1ba26660ab5a,
level23, 疫 殴 凡 巨 臣, 殳 疒 几 又 ノ 丶 匚, 13c787b8-038d-4eee-8d96-8656119a67ad,
level24, 益 悦 兄 足 呂, 一 皿 ハ 并 口 忄 儿, e374afbd-d265-401c-bda3-e2a63ef63951,
level25, 悦 閲 沿 況 問, 口 并 忄 儿 門 氵 ハ, 210b9296-7df5-4b24-88b6-7243ef77c0a9,
level26, 謁 稲 詢 旧 曲, 言 日 勹 匕 ｜ 禾 爪, a5512064-0b1e-4fdc-9f4c-8526dffb2886,
level27, 閲 猿 吐 赤 走, 口 并 門 儿 衣 土 犭, e3980e9c-a0a0-4862-959f-d4b66641bfb9,
level28, 沿 鉛 伽 加 豆, 口 氵 ハ 金 并 ⺅ 力, ed0416f9-8a4e-49f9-b458-985ccb9d1270,
level29, 炎 災 燦 汐 霞, 火 巛 米 又 夕 氵 雨, 5ad80e2f-37ab-469a-a688-e02381f56945,
level30, 宴 憶 晏 暗 意, 女 日 宀 音 心 忄 立, 239b6469-c3b3-427d-b51e-25d2e9a777d6,
level31, 媛 卸 企 妥 卯, ノ 女 爪 又 止 卩 𠆢, bd8eb74f-e407-46da-9d7d-c0a63c15fbac,
level32, 援 華 収 世 万, ノ 一 爪 又 扌 ｜ ⺾, ee917985-4662-49ac-9713-df3d2ee83263,
level33, 猿 佳 嘉 吉 袈, 衣 口 土 犭 ⺅ 士 力, 80030415-dc36-40ab-85d1-6a012b6c96c6,
level34, 鉛 翁 冶 公 台, 金 口 并 ハ 羽 冫 厶, a66ce3b5-a738-4c09-bafd-3fc3d504e9e3,
level35, 縁 嫁 糸 家 安, ヨ 糸 幺 小 豕 女 宀, f7c95677-a6a5-4657-aec2-04adc0d63fd7,
level36, 艶 中 舌 晶 昌, ｜ 口 色 豆 日 并 勹, 4a0f5dbd-88d9-4883-9a1f-5152f4e1ad99,
level37, 凹 缶 巌 厳 敢, 凵 山 耳 ⺌ 厂 攵, 670168e9-32de-4c62-a026-3e941377530f,
level38, 往 街 垣 晋 旦, 王 丶 彳 行 土 一 日, b7689174-268f-498b-a7ab-7439aca0376c,
level39, 旺 馨 香 暇 皮, 王 日 禾 香 士 又 几, 8ab11bd4-ccd3-4a21-9d6c-fd8be4580b69,
level40, 殴 飢 双 区 凡, ノ 丶 匚 殳 几 又 食, efa7e92c-69fc-4d4c-9608-34769ad24b31,
level41, 桜 架 禍 尚 如, 女 ⺌ 木 口 力 礻 冂, a43af926-7305-491a-827c-742de97aee78,
level42, 翁 旗 棋 松 某, 羽 ハ 冫 厶 甘 方 木, b7c6dfda-6067-43a3-9000-a422ffaa73c7,
level43, 岡 岳 宜 丘 且, 并 冂 一 山 斤 目 宀, c6468547-e698-45f4-b39e-8130c56f2cdc,
level44, 憶 恩 音 因 暗, 音 心 日 忄 立 大 囗, 7f40f297-9fe1-40b0-84a0-b78c53d75094,
level45, 虞 戯 只 呉 石, 口 ハ 卜 匕 厂 虍 戈, f59d4648-7095-49bc-8d39-2ecf94927661,
level46, 卸 苑 茄 多 名, ノ 止 卩 夕 ⺾ 口 力, 406ba249-da52-44ad-946e-b6391abefa80,
level47, 穏 稼 宮 啄 官, ヨ 禾 心 爪 宀 豕 口, dd7354be-c784-4f53-a1be-fa3646a04b56,
level48, 佳 綾 麦 終 幻, ⺅ 土 糸 幺 小 儿 夂, a688fb52-5d9e-485c-8d00-979175a16f39,
level49, 架 箇 株 協 固, 口 木 力 十 竹 囗 牛, 205e7e1f-9984-4e0d-8d9a-0a1f375ef764,
level50, 華 寡 穴 分 世, ｜ 一 ⺾ 自 刀 ハ 宀, 8a4ee979-41e8-4279-8d22-aaa0bf496d9d,
level51, 渦 拐 患 沼 忠, ｜ 口 氵 冂 刀 扌 心, 7e88fa70-1a0e-430a-a8d3-468508869c98,
level52, 嫁 轄 害 如 吐, 女 宀 豕 口 車 土 亠, 2b5f8c5f-f117-4333-85a6-b7dc4eba6ce6,
level53, 暇 怪 悔 桑 桂, 日 又 土 忄 母 毋 木, e0474217-0230-454b-9e95-e63f587bdee2,
level54, 禍 賀 助 員 加, 口 礻 冂 貝 目 ハ 力, dfb99d9a-9f11-4aa6-851a-b9810473691f,
